Order ID,Order Date,Region,Category,Sales,Profit,Month-Year
1,2024-01-01,South,Office Supplies,95.6,14.7,2024-01
2,2024-01-01,East,Furniture,21.4,4.87,2024-01
3,2024-01-01,West,Office Supplies,102.02,14.58,2024-01
4,2024-01-01,West,Office Supplies,93.56,19.64,2024-01
5,2024-01-01,West,Office Supplies,125.13,19.3,2024-01
6,2024-01-01,East,Furniture,197.48,44.9,2024-01
7,2024-01-02,South,Furniture,139.3,32.68,2024-01
8,2024-01-02,West,Office Supplies,129.18,28.95,2024-01
9,2024-01-02,South,Furniture,161.71,16.31,2024-01
10,2024-01-02,West,Technology,211.47,28.75,2024-01
11,2024-01-02,West,Furniture,300.94,67.53,2024-01
12,2024-01-03,East,Furniture,353.23,47.72,2024-01
13,2024-01-03,Central,Technology,254.7,44.88,2024-01
14,2024-01-03,Central,Technology,609.36,119.99,2024-01
15,2024-01-03,West,Office Supplies,103.26,18.27,2024-01
16,2024-01-03,East,Furniture,125.86,29.22,2024-01
17,2024-01-03,West,Technology,325.18,34.22,2024-01
18,2024-01-03,Central,Furniture,231.44,36.72,2024-01
19,2024-01-04,East,Office Supplies,132.44,25.57,2024-01
20,2024-01-04,East,Office Supplies,60.55,9.63,2024-01
21,2024-01-04,East,Furniture,235.89,47.23,2024-01
22,2024-01-04,West,Office Supplies,130.82,23.06,2024-01
23,2024-01-04,South,Furniture,82.11,14.67,2024-01
24,2024-01-04,West,Furniture,255.27,77.39,2024-01
25,2024-01-04,East,Furniture,233.17,45.49,2024-01
26,2024-01-04,East,Office Supplies,168.0,36.56,2024-01
27,2024-01-04,East,Office Supplies,178.92,19.66,2024-01
28,2024-01-04,Central,Office Supplies,78.4,11.89,2024-01
29,2024-01-04,East,Office Supplies,54.87,10.07,2024-01
30,2024-01-04,Central,Furniture,169.55,43.66,2024-01
31,2024-01-05,West,Furniture,272.74,59.75,2024-01
32,2024-01-05,West,Furniture,295.67,57.61,2024-01
33,2024-01-05,South,Technology,304.8,58.4,2024-01
34,2024-01-05,East,Technology,441.03,63.63,2024-01
35,2024-01-05,East,Furniture,413.26,84.18,2024-01
36,2024-01-05,Central,Furniture,164.72,36.13,2024-01
